y,Ux (sim),Ux (an),,,,
0.376,4.7402,59625.1168365021,,,,
0.377,4.7402,59687.8870725334,,,,
0.378,4.7402,59750.1490475443,,,,
0.379,4.7402,59811.9027615346,,,,
0.38,4.7402,59873.1482145045,,,,
0.381,4.7402,59933.8854064538,,,,
0.382,4.7402,59994.1143373827,,,,
0.383,4.7402,60053.835007291,,,,
0.384,4.7402,60113.0474161789,,,,
0.385,4.7402,60171.7515640462,,,,
0.386,4.7402,60229.9474508931,,,,
0.387,4.7402,60287.6350767195,,,,
0.388,4.7402,60344.8144415253,,,,
0.389,4.7402,60401.4855453107,,,,
0.39,4.7402,60457.6483880756,,,,
0.391,4.7402,60513.30296982,,,,
0.392,4.7402,60568.4492905439,,,,
0.393,4.7402,60623.0873502473,,,,
0.394,4.7402,60677.2171489301,,,,
0.395,4.7402,60730.8386865925,,,,
0.396,4.7402,60783.9519632344,,,,
0.397,4.7402,60836.5569788558,,,,
0.398,4.7402,60888.6537334567,,,,
0.399,4.7402,60940.2422270372,,,,
0.4,4.7402,60991.3224595971,,,,
0.401,4.7402,61041.8944311365,,,,
0.402,4.7402,61091.9581416554,,,,
0.403,4.7402,61141.5135911538,,,,
0.404,4.7402,61190.5607796318,,,,
0.405,4.7402,61239.0997070892,,,,
0.406,4.7402,61287.1303735261,,,,
0.407,4.7402,61334.6527789425,,,,
0.408,4.7402,61381.6669233385,,,,
0.409,4.7402,61428.1728067139,,,,
0.41,4.7402,61474.1704290689,,,,
0.411,4.7402,61519.6597904033,,,,
0.412,4.7402,61564.6408907173,,,,
0.413,4.7402,61609.1137300107,,,,
0.414,4.7402,61653.0783082837,,,,
0.415,4.7402,61696.5346255362,,,,
0.416,4.7402,61739.4826817681,,,,
0.417,4.7402,61781.9224769796,,,,
0.418,4.7402,61823.8540111706,,,,
0.419,4.7402,61865.277284341,,,,
0.42,4.7402,61906.192296491,,,,
0.421,4.7402,61946.5990476205,,,,
0.422,4.7402,61986.4975377295,,,,
0.423,4.7402,62025.887766818,,,,
0.424,4.7402,62064.769734886,,,,
0.425,4.7402,62103.1434419335,,,,
0.426,4.7402,62141.0088879605,,,,
0.427,4.7402,62178.366072967,,,,
0.428,4.7402,62215.214996953,,,,
0.429,4.7402,62251.5556599185,,,,
0.43,4.7402,62287.3880618635,,,,
0.431,4.7402,62322.712202788,,,,
0.432,4.7402,62357.528082692,,,,
0.433,4.7402,62391.8357015756,,,,
0.434,4.7402,62425.6350594386,,,,
0.435,4.7402,62458.9261562811,,,,
0.436,4.7402,62491.7089921032,,,,
0.437,4.7402,62523.9835669047,,,,
0.438,4.7402,62555.7498806857,,,,
0.439,4.7402,62587.0079334463,,,,
0.44,4.7402,62617.7577251863,,,,
0.441,4.7402,62647.9992559059,,,,
0.442,4.7402,62677.7325256049,,,,
0.443,4.7402,62706.9575342835,,,,
